rank,Model,Average Score,Character Score,Scene Score,Contextual_Alignment,Character_Consistency,Descriptive_Depth,Role_Specific_Knowledge,Engagement_and_Collaboration,Creativity_and_Emotional_Nuance
1,deepseek-v3-0324,21.75,21.84,21.66,3.9,4.08,2.68,3.38,4.1,3.62
2,quasar-alpha,21.64,21.77,21.52,3.88,4.04,2.69,3.37,4.04,3.6
3,gemini-1.5-pro,21.23,20.22,22.24,3.84,4.01,2.62,3.28,3.99,3.5
4,gemma-2-9b-sppo-iter3,21.11,20.72,21.5,3.86,3.98,2.64,3.25,3.96,3.43
5,gemini-2.0-flash,21.09,20.0,22.17,3.82,3.99,2.6,3.27,3.93,3.47
6,deepseek-v3,20.79,20.35,21.22,3.66,3.84,2.68,3.3,3.85,3.46
7,wizardlm-2-8x22b,20.6,20.39,20.8,3.56,3.73,2.74,3.28,3.8,3.48
8,claude-3-5-sonnet,20.46,19.9,21.03,3.56,3.76,2.66,3.23,3.8,3.45
9,minimax-01,20.46,20.01,20.9,3.54,3.7,2.72,3.25,3.76,3.46
10,gpt-4o-mini,20.45,19.85,21.05,3.6,3.77,2.63,3.24,3.79,3.42
11,gemini-1.5-pro-001,20.38,18.8,21.97,3.69,3.84,2.57,3.16,3.77,3.36
12,gpt-4-1106-preview,20.37,19.9,20.85,3.56,3.74,2.64,3.23,3.78,3.44
13,llama-3-70b-instruct,20.31,19.81,20.8,3.56,3.74,2.61,3.22,3.78,3.41
14,qwen-2-72b-instruct,20.3,19.87,20.73,3.54,3.7,2.66,3.23,3.76,3.42
15,yi-large,20.28,20.06,20.49,3.5,3.68,2.71,3.25,3.72,3.4
16,llama-3.1-70b-instruct,20.2,19.85,20.56,3.53,3.7,2.62,3.2,3.75,3.4
17,llama-3-1-405b-instruct-fp8,20.19,19.85,20.52,3.53,3.7,2.62,3.2,3.75,3.38
18,claude-3.5-sonnet-20240620,20.17,19.57,20.78,3.52,3.7,2.64,3.2,3.74,3.37
19,llama3.1-8B-instruct,20.14,19.73,20.55,3.52,3.7,2.6,3.2,3.74,3.38
20,gpt-4o,20.11,19.67,20.56,3.52,3.69,2.62,3.2,3.7,3.38
21,yi-34b,20.05,19.53,20.57,3.51,3.68,2.6,3.2,3.72,3.36
22,higgs-llama-3-70b,20.03,19.06,21.0,3.56,3.7,2.56,3.2,3.69,3.32
23,mistral-large-2402,20.02,19.28,20.75,3.43,3.6,2.7,3.18,3.7,3.42
24,mythomax-13b,19.94,19.2,20.67,3.53,3.71,2.52,3.18,3.69,3.32
