rank,Model,Average Score,Character Score,Scene Score,Contextual_Alignment,Character_Consistency,Descriptive_Depth,Role_Specific_Knowledge,Engagement_and_Collaboration,Creativity_and_Emotional_Nuance
1,gemini-1.5-pro-001,11.65,12.88,10.41,2.06,2.06,1.8,1.97,1.88,1.86
2,wizardlm-2-8x22b,11.11,11.69,10.52,1.96,1.9,1.79,1.88,1.75,1.82
3,mistral-large-2402,11.08,11.03,11.13,1.96,1.9,1.77,1.88,1.76,1.81
4,minimax-01,11.05,11.12,10.97,1.95,1.9,1.77,1.88,1.75,1.8
5,yi-large,10.91,11.21,10.6,1.92,1.88,1.74,1.85,1.73,1.78
6,claude-3-5-sonnet,10.82,11.05,10.6,1.91,1.87,1.72,1.84,1.73,1.76
7,claude-3.5-sonnet-20240620,10.71,10.9,10.53,1.9,1.86,1.69,1.82,1.72,1.74
8,qwen-2-72b-instruct,10.6,10.75,10.45,1.87,1.83,1.68,1.81,1.68,1.73
9,gemma-2-9b-sppo-iter3,10.54,11.29,9.78,1.84,1.81,1.7,1.78,1.67,1.74
10,gpt-4-1106-preview,10.53,10.76,10.3,1.86,1.82,1.67,1.79,1.68,1.72
11,gemini-1.5-pro,10.5,10.83,10.16,1.84,1.81,1.67,1.77,1.68,1.72
12,deepseek-v3-0324,10.42,10.93,9.92,1.83,1.79,1.67,1.76,1.66,1.72
13,llama-3.1-70b-instruct,10.39,10.33,10.44,1.84,1.8,1.64,1.76,1.66,1.69
14,yi-34b,10.37,10.21,10.53,1.84,1.81,1.62,1.76,1.66,1.67
15,gpt-4o,10.37,10.17,10.57,1.83,1.8,1.64,1.76,1.66,1.68
16,quasar-alpha,10.33,10.64,10.02,1.82,1.78,1.66,1.74,1.64,1.69
17,llama3.1-8B-instruct,10.29,10.25,10.32,1.82,1.78,1.62,1.74,1.65,1.67
18,gemini-2.0-flash,10.28,10.39,10.17,1.81,1.78,1.63,1.74,1.64,1.68
19,llama-3-1-405b-instruct-fp8,10.27,10.27,10.27,1.82,1.78,1.63,1.74,1.64,1.67
20,gpt-4o-mini,10.23,10.4,10.06,1.81,1.76,1.62,1.74,1.63,1.67
21,llama-3-70b-instruct,10.22,10.16,10.29,1.81,1.76,1.62,1.74,1.63,1.66
22,deepseek-v3,10.11,10.57,9.66,1.78,1.74,1.62,1.72,1.61,1.66
23,mythomax-13b,10.05,9.74,10.37,1.78,1.76,1.56,1.71,1.64,1.62
24,higgs-llama-3-70b,10.03,10.05,10.01,1.76,1.73,1.59,1.69,1.6,1.63
