rank,Model,Average Score,Character Score,Scene Score,Contextual_Alignment,Character_Consistency,Descriptive_Depth,Role_Specific_Knowledge,Engagement_and_Collaboration,Creativity_and_Emotional_Nuance
1,gpt-4-1106-preview,476.17678750000005,84.57,89.19,58.19,74.55,88.51,81.17,465.79574499999995,82.68
2,yi-large,467.24945250000025,81.63,86.55,59.86,74.69,86.12,78.39,457.79873499999985,80.69
3,qwen-2-72b-instruct,471.50122500000026,83.69,88.31,57.74,73.82,87.87,80.08,463.1232649999997,81.69
4,llama-3-1-405b-instruct-fp8,474.21836999999977,84.42,89.18,57.26,74.29,88.21,80.86,458.4823975000003,81.12
5,llama-3-70b-instruct,470.77503,84.02,88.53,56.59,73.65,87.42,80.56,464.67631500000016,82.62
6,higgs-llama-3-70b,459.4448974999994,82.2,86.06,56.54,72.95,84.66,77.04,469.193415,85.22
7,claude-3.5-sonnet-20240620,466.3135999999993,82.3,87.08,57.82,73.48,86.22,79.41,464.1343049999999,82.11
8,llama-3.1-70b-instruct,474.03994999999964,84.66,89.28,57.04,74.03,88.11,80.92,459.24485999999973,81.07
9,llama3.1-8B-instruct,469.33414249999987,83.65,88.42,56.68,73.44,87.09,80.05,459.0345074999997,81.18
10,gpt-4o,461.6685349999999,81.92,86.64,56.5,72.9,85.15,78.55,461.0517400000003,81.28
11,gemini-1.5-pro-001,451.7793500000004,81.28,85.02,56.63,69.78,82.13,76.93,490.74403499999994,91.43
12,mistral-large-2402,453.8044925000002,78.91,83.46,57.74,70.99,84.97,77.74,463.5914324999995,80.53
