rank,Model,Average Score,Character Score,Scene Score,Contextual_Alignment,Character_Consistency,Descriptive_Depth,Role_Specific_Knowledge,Engagement_and_Collaboration,Creativity_and_Emotional_Nuance
1,Mistral Large (2024-02),458.71,450.06,467.35,82.99,81.41,63.18,82.54,76.47,72.11
2,Yi Large (2024-05-13),455.02,458.38,451.66,82.32,81.03,62.02,82.46,75.93,71.28
3,Claude-3.5 Sonnet (2024-06-20),444.03,437.82,450.24,80.28,79.69,59.76,80.32,74.37,69.61
4,Qwen 2 72B Instruct,443.05,438.28,447.81,80.23,79.55,59.2,80.54,74.05,69.48
5,GPT-4-Turbo (1106 Preview),442.77,442.19,443.34,80.14,79.51,59.01,80.32,74.37,69.43
6,Llama-3.1 70B Instruct,442.12,437.03,447.22,80.17,79.56,58.61,80.1,74.37,69.32
7,Llama-3.1 8B Instruct,441.73,436.25,447.2,80.16,79.5,58.56,80.12,74.18,69.18
8,GPT-4o (2024-05-13),441.57,434.42,448.73,80.22,79.37,58.92,80.09,74.09,68.89
9,Llama-3.1 405B Instruct (FP8),441.27,437.63,444.91,80.02,79.44,58.36,80.08,74.19,69.19
10,Llama-3 70B Instruct,439.29,434.12,444.46,79.62,79.16,57.98,79.78,73.9,68.85
11,Higgs-Llama-3 70B V1 3.5bpw,437.15,437.7,436.6,78.86,78.28,58.38,79.31,73.63,68.7
12,Gemini 1.5 Pro 001,423.53,416.49,430.58,76.4,76.14,56.82,75.53,71.71,66.93
