rank,Model,Average Score,Character Score,Scene Score,Contextual_Alignment,Character_Consistency,Descriptive_Depth,Role_Specific_Knowledge,Engagement_and_Collaboration,Creativity_and_Emotional_Nuance
1,Gemini 1.5 Pro 001,471.26,451.78,490.74,86.36,89.82,57.72,72.6,87.48,77.29
2,GPT-4-Turbo (1106 Preview),470.99,476.18,465.8,83.62,87.62,59.24,73.94,87.74,78.82
3,Llama-3 70B Instruct,467.73,470.78,464.68,83.32,87.39,58.0,73.43,87.4,78.18
4,Qwen 2 72B Instruct,467.31,471.5,463.12,82.69,86.46,59.29,73.68,87.0,78.19
5,Llama-3.1 70B Instruct,466.64,474.04,459.24,82.86,86.96,58.34,73.29,87.1,78.09
6,Llama-3.1 405B Instruct (FP8),466.35,474.22,458.48,82.77,86.89,58.32,73.44,87.15,77.78
7,Claude-3.5 Sonnet (2024-06-20),465.22,466.31,464.13,82.2,86.24,59.36,73.38,86.43,77.6
8,Higgs-Llama-3 70B V1 3.5bpw,464.32,459.44,469.19,83.71,86.94,57.7,73.38,86.07,76.5
9,Llama-3.1 8B Instruct,464.18,469.33,459.03,82.42,86.51,58.11,73.03,86.54,77.58
10,Yi Large (2024-05-13),462.52,467.25,457.8,81.16,85.0,60.39,73.72,85.22,77.03
11,GPT-4o (2024-05-13),461.36,461.67,461.05,81.6,85.71,58.55,72.95,85.22,77.32
12,Mistral Large (2024-02),458.7,453.8,463.59,79.72,83.0,60.7,72.17,84.9,78.21
